BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,,,,,,,,,,
BR,,,,RQ,RQ,RQ,RQ,(RQ:,FILL ONLY FOR REROUTED CUSTOMERS),-- DO NOT REMOVE THIS ROW --,,,,,,,,,,,,,,,
650,01,01B,01,,,,,6501024,COAL FIRE PIZZA HUNT VALLEY,SHAWAN ROAD,COCKEYSVILLE,21030,06/17/2013,$745.42,$373.58,,,,,,,,,,
650,01,01B,02,,,,,65050465,GREEN LEAF RESTAURANT,YORK ROAD,COCKEYSVILLE,21030,11/02/2004,$312.51,$0.00,,,,,,,,,,
650,01,01B,03,,,,,650982,FUSION,YORK ROAD,COCKEYSVILLE,21030-2121,03/12/2013,$279.69,$0.00,,,,,,,,,,
650,01,01B,04,,,,,650437,VITO'S RESTAURANT,YORK ROAD,COCKEYSVILLE,21030,08/27/2007,$526.76,$136.70,,,,,,,,,,
650,01,01B,05,,,,,6501054,LA TOLTECA COCKEYSVILLE,YORK ROAD,COCKEYSVILLE,21030-3304,09/16/2013,$274.96,$0.00,,,,,,,,,,
650,01,01B,06,,,,,226500031,MISSION BBQ - HUNT VALLEY,"SHAWAN ROAD, STE 103",HUNT VALLEY,21030,12/19/2022,$623.55,$98.45,,,,,,,,,,
650,01,01B,07,,,,,226500027,IZAKAYA 68,SHAWAN ROAD,HUNT VALLEY,21030,09/05/2022,$338.11,$0.00,,,,,,,,,,
650,01,02B,01,,,,,65092638,DING HOW TIMONIUM,TULLAMORE ROAD,TIMONIUM,21093-7816,04/08/1997,$165.00,$0.00,,,,,,,,,,
650,01,02B,02,,,,,166500234,LIBERATORE'S RISTORANTE & CATERING TIMONIUM ,DEERECO ROAD,TIMONIUM,21093-2116,09/20/2016,$644.11,$0.00,,,,,,,,,,
650,01,02B,03,,,,,156500107,ROYAL KITCHEN,YORK ROAD,COCKEYSVILLE,21030-4914,03/26/2015,$118.33,$0.00,,,,,,,,,,
