BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,2,6,7,,2,6,7,65050465,GREEN LEAF RESTAURANT,11313,YORK ROAD,COCKEYSVILLE,21030,11/2/2004,312.51,0,39.4942353,-76.6487905,312.51,0,16
650,2,6,8,,2,6,8,650982,FUSION,10752,YORK ROAD,COCKEYSVILLE,21030-2121,3/12/2013,279.69,0,39.4809764,-76.64424812,279.69,0,168
650,2,7,2,,2,7,2,650437,VITO'S RESTAURANT,10249,YORK ROAD,COCKEYSVILLE,21030,8/27/2007,526.76,136.7,39.47063214285714,-76.639122,526.76,136.7,17
650,2,7,4,,2,7,4,6501054,LA TOLTECA COCKEYSVILLE,10010,YORK ROAD,COCKEYSVILLE,21030-3304,9/16/2013,274.95666666666665,0,39.463020331158326,-76.6360408,274.95666666666665,0,4
650,2,6,5,,2,6,5,226500031,MISSION BBQ - HUNT VALLEY,128,SHAWAN ROAD,HUNT VALLEY,21030,12/19/2022,623.5533333333333,98.45,39.49583147927272,-76.65670493,623.5533333333333,98.45,1
650,2,6,6,,2,6,6,226500027,IZAKAYA 68,100,SHAWAN ROAD,HUNT VALLEY,21030,9/5/2022,338.11,0,39.495881,-76.655815,338.11,0,7
650,3,3,2,,3,3,2,65092638,DING HOW TIMONIUM,12237,TULLAMORE ROAD,TIMONIUM,21093-0000,4/8/1997,165,0,39.45879322,-76.6652561,165,0,21
650,3,3,3,,3,3,3,166500234,LIBERATORE'S RISTORANTE & CATERING TIMONIUM ,9515,DEERECO ROAD,TIMONIUM,21093,9/20/2016,644.1066666666666,0,39.45496378112544,-76.64205275,644.1066666666666,0,27
650,2,7,5,,2,7,5,156500107,ROYAL KITCHEN,9832,YORK ROAD,COCKEYSVILLE,21030-4914,3/26/2015,118.33333333333331,0,39.45989725,-76.63510257,118.33333333333331,0,6
650,2,13,7,,2,13,7,6501012,NEW LIFE HEALTHY LIVING,7600,CLAYS LANE,WINDSOR MILL ,21244-2003,5/31/2013,0,0,39.3363557,-76.7639144,0,0,118
650,2,7,3,,2,7,3,176500023,MIKU SUSHI & STEAKHOUSE,584,CRANBROOK ROAD,COCKEYSVILLE,21030-3702,6/27/2017,225,0,39.47140137288136,-76.61977025,225,0,17
650,2,7,6,,2,7,6,65092857,EDO SUSHI TIMONIUM,53,EAST PADONIA ROAD,TIMONIUM,21093,11/19/1997,184.25666666666666,0,39.456465,-76.63062143,184.25666666666666,0,2
650,2,7,7,,2,7,7,156500046,CUVINO,61,EAST PADONIA ROAD,TIMONIUM,21093-2346,2/23/2015,597.9633333333333,0,39.455713,-76.6295927,597.9633333333333,0,20
650,2,7,8,,2,7,8,650466,NAUTILUS DINER,2047,YORK ROAD,TIMONIUM,21093-4230,2/26/2008,668.4333333333333,9.216666666666667,39.438099214285714,-76.62527421,668.4333333333333,9.216666666666667,162
650,2,8,2,,2,8,2,216500009,KUNG FU 12 SZECHUAN - TIMONIUM,1427,YORK ROAD,TIMONIUM,21093,2/15/2021,464.9666666666667,0,39.42002236363636,-76.61624127,464.9666666666667,0,41
650,1,6,5,,1,6,5,186500025,THAI RAINBOW RESTAURANT,750,CONCOURSE CIRCLE,MIDDLE RIVER,21220-2995,9/6/2018,200.48333333333332,9.116666666666667,39.35957835,-76.40695746,200.48333333333332,9.116666666666667,40
650,1,6,6,,1,6,6,166500248,VINCE’S CRAB HOUSE,610,COMPASS ROAD,MIDDLE RIVER,21220,11/23/2016,294.6333333333333,10.416666666666666,39.3433596,-76.44796,294.6333333333333,10.416666666666666,360
650,1,6,2,,1,6,2,650389,KOBE JAPANESE STEAK HOUSE,8165,HONEYGO BOULEVARD,NOTTINGHAM,21236-8208,12/29/2006,373.3666666666667,0,39.371664548773886,-76.46578995,373.3666666666667,0,10
650,1,6,1,,1,6,1,196500028,AKIRA RAMEN ,8133,HONEYGO BOULEVARD,WHITE MARSH,21236,9/17/2019,226.98333333333332,0,39.37162837898192,-76.46624521,226.98333333333332,0,1
650,1,5,3,,1,5,3,216500016,PHO SAIGON HANOI ,9613,HARFORD ROAD,PARKVILLE,21234-2150,5/20/2021,315,0,39.39550465,-76.52192362,315,0,18
650,3,15,2,,3,15,2,166500232,LAS ESPERANZAS CAFÉ 2,5725,RITCHIE HIGHWAY,BROOKLYN PARK,21225-3645,9/15/2016,379.98333333333335,0,39.21745259183673,-76.61446689,379.98333333333335,0,4
650,3,15,3,,3,15,3,65092646,EL SALTO BALTIMORE,5513,RITCHIE HIGHWAY,BROOKLYN,21225-0000,5/15/1997,609.6866666666666,27.35,39.220309102040815,-76.6141615,609.6866666666666,27.35,30
