BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,Stop ID,NEW DIST
650,2,18,2,,37.0,1,2,166500234,LIBERATORE'S RISTORANTE & CATERING TIMONIUM ,9515,DEERECO ROAD,TIMONIUM,21093,2016-09-20 00:00:00,644.1066666666666,0.0,39.45496378112544,-76.64205274675615,644.1066666666666,0.0,9,21.0
650,2,14,1,,13.0,1,1,156500107,ROYAL KITCHEN,9832,YORK ROAD,COCKEYSVILLE,21030-4914,2015-03-26 00:00:00,118.33333333333331,0.0,39.45989725,-76.63510257394353,118.33333333333331,0.0,10,0.0
650,1,3,5,,42.0,1,5,6501012,NEW LIFE HEALTHY LIVING,7600,CLAYS LANE,WINDSOR MILL ,21244-2003,2013-05-31 00:00:00,0.0,0.0,39.3363557,-76.7639144,0.0,0.0,11,67.0
650,1,4,6,,3.0,1,6,176500023,MIKU SUSHI & STEAKHOUSE,584,CRANBROOK ROAD,COCKEYSVILLE,21030-3702,2017-06-27 00:00:00,225.0,0.0,39.47140137288136,-76.6197702542373,225.0,0.0,12,210.0
650,2,14,2,,13.0,1,2,65092857,EDO SUSHI TIMONIUM,53,EAST PADONIA ROAD,TIMONIUM,21093,1997-11-19 00:00:00,184.25666666666666,0.0,39.456465,-76.63062143345996,184.25666666666666,0.0,13,6.0
650,2,14,3,,13.0,1,3,156500046,CUVINO,61,EAST PADONIA ROAD,TIMONIUM,21093-2346,2015-02-23 00:00:00,597.9633333333333,0.0,39.455713,-76.6295927,597.9633333333333,0.0,14,2.0
650,1,4,1,,3.0,2,1,650466,NAUTILUS DINER,2047,YORK ROAD,TIMONIUM,21093-4230,2008-02-26 00:00:00,668.4333333333333,9.216666666666667,39.438099214285714,-76.62527421428571,668.4333333333333,9.216666666666667,15,38.0
650,1,4,2,,3.0,2,2,216500009,KUNG FU 12 SZECHUAN - TIMONIUM,1427,YORK ROAD,TIMONIUM,21093,2021-02-15 00:00:00,464.9666666666667,0.0,39.42002236363636,-76.61624127272727,464.9666666666667,0.0,16,0.0
650,1,20,5,,39.0,1,5,186500025,THAI RAINBOW RESTAURANT,750,CONCOURSE CIRCLE,MIDDLE RIVER,21220-2995,2018-09-06 00:00:00,200.48333333333332,9.116666666666667,39.35957835,-76.4069574601406,200.48333333333332,9.116666666666667,17,0.0
650,3,15,8,,14.0,1,8,166500248,VINCE’S CRAB HOUSE,610,COMPASS ROAD,MIDDLE RIVER,21220,2016-11-23 00:00:00,294.6333333333333,10.416666666666666,39.3433596,-76.44796,294.6333333333333,10.416666666666666,18,0.0
650,3,18,7,,17.0,1,7,650389,KOBE JAPANESE STEAK HOUSE,8165,HONEYGO BOULEVARD,NOTTINGHAM,21236-8208,2006-12-29 00:00:00,373.3666666666667,0.0,39.371664548773886,-76.465789952244,373.3666666666667,0.0,19,7.0
650,3,18,8,,17.0,1,8,196500028,AKIRA RAMEN ,8133,HONEYGO BOULEVARD,WHITE MARSH,21236,2019-09-17 00:00:00,226.98333333333332,0.0,39.37162837898192,-76.46624520888918,226.98333333333332,0.0,20,0.0
