BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,Stop ID
650.0,1,1,01,650.0,1,1,01,236500003.0,LAS ESPERANZAS CAFE 3 ,6500,EASTERN AVENUE,BALTIMORE,21224,01/03/2023,353.95,0.0,39.2889002,-76.5360656,353.95,0.0,0
650.0,1,1,03,650.0,1,1,03,65047797.0,BOULEVARD DINER,1660,MERRITT BOULEVARD,DUNDALK,21222,04/04/2002,2026.13,830.97,39.2707756,-76.5035391,2026.13,830.97,1
650.0,1,1,04,650.0,1,1,04,650643.0,FRIENDLY'S DUNDALK,1579,MERRITT BOULEVARD,DUNDALK,21222,04/15/2010,230.63,87.98,39.2732412,-76.5025024,230.63,87.98,2
650.0,1,1,05,650.0,1,1,05,650470.0,SCOOZZI'S RESTAURANT,7625,GERMAN HILL ROAD,DUNDALK,21222,04/15/2008,399.0,0.0,39.279619800000006,-76.50215830270898,399.0,0.0,3
650.0,1,1,"02,04",650.0,1,1,"02,04",146500016.0,JIMMY'S FAMOUS SEAFOOD,6526,HOLABIRD AVENUE,BALTIMORE,21224-6244,05/01/2014,2044.16,91.13,39.272453428571424,-76.53526516326531,2044.16,91.13,4
650.0,1,2,01,650.0,1,2,01,6501022.0,KABUTO,8813,PULASKI HIGHWAY,ESSEX,21221,06/10/2013,581.59,0.0,39.337309,-76.47892,581.59,0.0,5
650.0,1,2,02,650.0,1,2,02,146500020.0,TACO LOVE GRILL,11550,PHILADELPHIA ROAD,WHITE MARSH,21162,05/16/2014,865.75,212.5,39.4067895,-76.4138085,865.75,212.5,6
650.0,1,2,03,650.0,1,2,03,650892.0,ROSARIO'S RESTAURANT,7301,PULASKI HIGHWAY,ROSEDALE,21237-2527,05/15/2012,840.68,10.08,39.310473,-76.529155,840.68,10.08,7
650.0,1,2,04,650.0,1,2,04,650894.0,HIBACHI GRILL & BUFFET,7911,EASTERN AVENUE,BALTIMORE ,21224-2141,06/11/2012,1082.39,11.85,39.29584366066492,-76.50809645832251,1082.39,11.85,8
650.0,1,2,05,650.0,1,2,05,156500451.0,ENDY'S GRILL,1328,EASTERN BOULEVARD,ESSEX,21221,12/30/2015,285.0,0.0,39.31571524983195,-76.46051428322953,285.0,0.0,9
