BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG
650,01,01,01,650,01,01,01,236500003,LAS ESPERANZAS CAFE 3 ,6500,EASTERN AVENUE,BALTIMORE,21224,01/03/2023,353.95,0.00
650,01,01,03,650,01,01,03,65047797,BOULEVARD DINER,1660,MERRITT BOULEVARD,DUNDALK,21222,04/04/2002,2026.13,830.97
650,01,01,04,650,01,01,04,650643,FRIENDLY'S DUNDALK,1579,MERRITT BOULEVARD,DUNDALK,21222,04/15/2010,230.63,87.98
650,01,01,05,650,01,01,05,650470,SCOOZZI'S RESTAURANT,7625,GERMAN HILL ROAD,DUNDALK,21222,04/15/2008,399.00,0.00
650,01,01,"02,04",650,01,01,"02,04",146500016,JIMMY'S FAMOUS SEAFOOD,6526,HOLABIRD AVENUE,BALTIMORE,21224-6244,05/01/2014,2044.16,91.13
650,01,02,01,650,01,02,01,6501022,KABUTO,8813,PULASKI HIGHWAY,ESSEX,21221,06/10/2013,581.59,0.00
650,01,02,02,650,01,02,02,146500020,TACO LOVE GRILL,11550,PHILADELPHIA ROAD,WHITE MARSH,21162,05/16/2014,865.75,212.50
650,01,02,03,650,01,02,03,650892,ROSARIO'S RESTAURANT,7301,PULASKI HIGHWAY,ROSEDALE,21237-2527,05/15/2012,840.68,10.08
650,01,02,04,650,01,02,04,650894,HIBACHI GRILL & BUFFET,7911,EASTERN AVENUE,BALTIMORE ,21224-2141,06/11/2012,1082.39,11.85
650,01,02,05,650,01,02,05,156500451,ENDY'S GRILL,1328,EASTERN BOULEVARD,ESSEX,21221,12/30/2015,285.00,0.00
650,01,03,01,650,01,03,01,196500032,MINDPUB,554,EAST FORT AVENUE,BALTIMORE,21230-4751,11/20/2019,205.00,0.00
650,01,03,02,650,01,03,02,650707,PARK BENCH,1749,BELT STREET,BALTIMORE,21230-4707,10/13/2010,0.00,0.00
650,01,03,03,650,01,03,03,176500031,HERSH'S,1843,LIGHT STREET,BALTIMORE,21230-4920,12/07/2017,305.41,36.50
650,01,03,04,650,01,03,04,216500021,WATER SONG ,21,EAST CROSS STREET,BALTIMORE,21230,06/10/2021,219.32,0.00
650,01,03,05,650,01,03,05,236500010,BE MORE THAI,1006,LIGHT STREET,BALTIMORE,21230-4018,03/06/2023,264.00,0.00
650,01,03,06,650,01,03,06,65047430,THAI ARROY,1019,LIGHT STREET,BALTIMORE,21230,09/10/2006,161.46,0.00
650,01,03,07,650,01,03,07,236500015,VIDA TACO BAR,333,WEST CAMDEN STREET,BALTIMORE,21201,04/24/2023,0.00,0.00
650,01,03,08,650,01,03,08,650868,PRATT STREET ALE HOUSE,206,WEST PRATT STREET,BALTIMORE,21201-2426,01/13/2012,661.42,211.42
650,01,04,01,650,01,04,01,246500002,ATTMAN'S BALTIMORE,1401,POINT STREET,BALTIMORE,21231,01/08/2024,680.70,135.70
650,01,04,02,650,01,04,02,196500008,SWEETGREEN - HARBOR EAST,1306,FLEET STREET,BALTIMORE,21231,01/30/2019,1154.73,792.32
650,01,04,03,650,01,04,03,166500111,TACO FIESTA,618,SOUTH EXETER STREET,BALTIMORE,21202,03/04/2016,319.32,56.35
650,01,04,04,650,01,04,04,650938,GERMANO'S TRATTORIA,300,SOUTH HIGH STREET,BALTIMORE,21202-4333,10/15/2012,0.00,0.00
650,01,04,05,650,01,04,05,196500020,AMICCIS,231,SOUTH HIGH STREET,BALTIMORE,21202-4454,08/15/2019,715.00,0.00
650,01,04,06,650,01,04,06,65092620,LA TAVOLA,248,ALBEMARLE STREET,BALTIMORE,21202-4455,04/08/1997,391.31,45.38
650,01,04,07,650,01,04,07,226500030,AMMOORA RESTAURANT,751,KEY HIGHWAY,BALTIMORE,21230,10/03/2022,382.17,0.00
650,01,05,01,650,01,05,01,650936,PHO 7 RICH,4136,EAST JOPPA ROAD,NOTTINGHAM,21236-2286,10/10/2012,245.82,0.00
650,01,05,02,650,01,05,02,650944,MISSION BBQ NOTTINGHAM,4132,EAST JOPPA ROAD,NOTTINGHAM,21236,10/22/2012,775.33,248.31
650,01,05,03,650,01,05,03,216500016,PHO SAIGON HANOI ,9613,HARFORD ROAD,PARKVILLE,21234-2150,05/20/2021,315.00,0.00
650,01,05,04,650,01,05,04,650502,HOUSE OF KABOB,8025,HARFORD ROAD,PARKVILLE,21234,09/04/2008,215.00,0.00
650,01,05,05,650,01,05,05,650485,VALENTINO'S RESTAURANT,6627,HARFORD ROAD,BALTIMORE,21214-1306,06/04/2008,800.00,0.00
650,01,05,06,650,01,05,06,156500378,SILVER QUEEN CAFE,5427,HARFORD ROAD,BALTIMORE,21214-2217,10/13/2015,317.39,30.25
650,01,05,07,650,01,05,07,226500032,CAFE CAMPLI,4801,HARFORD ROAD,BALTIMORE,21214-2935,12/05/2022,331.75,91.75
650,01,06,09,650,01,06,09,246500008,JUICY KING CRAB,7916,BELAIR ROAD,NOTTINGHAM,21236,02/27/2024,171.33,0.00
